date	version	host	rid	mas	agent	event	comment
2021-03-07 17:23:22	0.14	Akame	259919B15	collectivist	B1	simStart	[teamSize(15),vision(5),exploration_strategy(none)]
2021-03-07 17:24:39	0.14	Akame	261038B15	collectivist	B1	simStart	[teamSize(15),vision(5),exploration_strategy(none)]
2021-03-07 17:25:06	0.14	Akame	261786A15	collectivist	A1	simStart	[teamSize(15),vision(5),exploration_strategy(stc)]
2021-03-07 17:25:06	0.14	Akame	261786B15	collectivist	B1	simStart	[teamSize(15),vision(5),exploration_strategy(none)]
2021-03-07 17:26:07	0.14	Akame	261786A15	collectivist	A7	taskAccepted	[task(task5,342,5,[req(0,1,b1)]),accepted(task5),step(183)]
2021-03-07 17:26:07	0.14	Akame	261786A15	collectivist	A13	taskAccepted	[task(task4,301,1,[req(0,1,b2)]),accepted(task4),step(184)]
2021-03-07 17:32:20	0.14	Akame	268841A15	collectivist	A1	simStart	[teamSize(15),vision(5),exploration_strategy(stc)]
2021-03-07 17:32:21	0.14	Akame	268841B15	collectivist	B1	simStart	[teamSize(15),vision(5),exploration_strategy(none)]
2021-03-07 17:33:02	0.14	Akame	270179Anull	collectivist	A3	excessive_delay	[current_intentions([552,554])]
2021-03-07 17:33:02	0.14	Akame	270179Anull	collectivist	A3	excessive_delay	[current_intentions([554,552])]
2021-03-07 17:33:03	0.14	Akame	270179A15	collectivist	A1	simStart	[teamSize(15),vision(5),exploration_strategy(stc)]
2021-03-07 17:33:03	0.14	Akame	270179B15	collectivist	B1	simStart	[teamSize(15),vision(5),exploration_strategy(none)]
2021-03-07 17:33:06	0.14	Akame	270179A15	collectivist	A3	excessive_delay	[current_intentions([554,2597])]
2021-03-07 17:33:06	0.14	Akame	270179A15	collectivist	A3	excessive_delay	[current_intentions([2597,554])]
2021-03-07 17:33:11	0.14	Akame	270179A15	collectivist	A3	excessive_delay	[current_intentions([5522,554])]
2021-03-07 17:33:11	0.14	Akame	270179A15	collectivist	A3	excessive_delay	[current_intentions([554,5522])]
2021-03-07 17:33:14	0.14	Akame	270179A15	collectivist	A3	excessive_delay	[current_intentions([554,5522])]
2021-03-07 17:33:14	0.14	Akame	270179A15	collectivist	A3	excessive_delay	[current_intentions([5522,554])]
2021-03-07 17:33:18	0.14	Akame	270179A15	collectivist	A3	excessive_delay	[current_intentions([554,13412])]
2021-03-07 17:33:22	0.14	Akame	270179A15	collectivist	A3	excessive_delay	[current_intentions([554,19379])]
2021-03-07 17:33:26	0.14	Akame	270179A15	collectivist	A3	excessive_delay	[current_intentions([554,20259])]
2021-03-07 17:33:26	0.14	Akame	270179A15	collectivist	A3	excessive_delay	[current_intentions([20259,554])]
2021-03-07 17:33:29	0.14	Akame	270179A15	collectivist	A3	excessive_delay	[current_intentions([554,20259])]
2021-03-07 17:33:29	0.14	Akame	270179A15	collectivist	A3	excessive_delay	[current_intentions([20259,554])]
2021-03-07 17:35:35	0.14	Akame	272053B15	collectivist	B1	simStart	[teamSize(15),vision(5),exploration_strategy(none)]
2021-03-07 17:36:02	0.14	Akame	272782A15	collectivist	A1	simStart	[teamSize(15),vision(5),exploration_strategy(stc)]
2021-03-07 17:36:02	0.14	Akame	272782B15	collectivist	B1	simStart	[teamSize(15),vision(5),exploration_strategy(none)]
2021-03-07 17:36:14	0.14	Akame	272782A15	collectivist	A3	restarted_noact	[no_action(agentA3),step(5)]
2021-03-07 17:36:14	0.14	Akame	272782A15	collectivist	A8	restarted_noact	[no_action(agentA8),step(5)]
2021-03-07 17:38:02	0.14	Akame	274166A15	collectivist	A1	simStart	[teamSize(15),vision(5),exploration_strategy(stc)]
2021-03-07 17:38:03	0.14	Akame	274166B15	collectivist	B1	simStart	[teamSize(15),vision(5),exploration_strategy(none)]
2021-03-07 17:38:15	0.14	Akame	274166A15	collectivist	A8	restarted_noact	[no_action(agentA8),step(5)]
2021-03-07 17:38:27	0.14	Akame	274166A15	collectivist	A3	restarted_noact	[no_action(agentA3),step(8)]
2021-03-07 17:38:31	0.14	Akame	274166A15	collectivist	A15	restarted_noact	[no_action(agentA15),step(9)]
2021-03-07 17:40:56	0.14	Akame	275720A15	collectivist	A1	simStart	[teamSize(15),vision(5),exploration_strategy(stc)]
2021-03-07 17:40:56	0.14	Akame	275720B15	collectivist	B1	simStart	[teamSize(15),vision(5),exploration_strategy(none)]
2021-03-07 17:41:52	0.14	Akame	277108A15	collectivist	A1	simStart	[teamSize(15),vision(5),exploration_strategy(stc)]
2021-03-07 17:41:52	0.14	Akame	277108B15	collectivist	B1	simStart	[teamSize(15),vision(5),exploration_strategy(none)]
2021-03-07 17:42:05	0.14	Akame	277108A15	collectivist	A8	restarted_noact	[no_action(agentA8),step(5)]
2021-03-07 17:45:28	0.14	Akame	278761A15	collectivist	A1	simStart	[teamSize(15),vision(5),exploration_strategy(stc)]
2021-03-07 17:45:28	0.14	Akame	278761B15	collectivist	B1	simStart	[teamSize(15),vision(5),exploration_strategy(none)]
2021-03-07 17:46:37	0.14	Akame	280236A15	collectivist	A1	simStart	[teamSize(15),vision(5),exploration_strategy(stc)]
2021-03-07 17:46:37	0.14	Akame	280236B15	collectivist	B1	simStart	[teamSize(15),vision(5),exploration_strategy(none)]
2021-03-07 17:47:10	0.14	Akame	281668A15	collectivist	A1	simStart	[teamSize(15),vision(5),exploration_strategy(stc)]
2021-03-07 17:47:10	0.14	Akame	281668B15	collectivist	B1	simStart	[teamSize(15),vision(5),exploration_strategy(none)]
2021-03-07 17:47:45	0.14	Akame	283134A15	collectivist	A1	simStart	[teamSize(15),vision(5),exploration_strategy(stc)]
2021-03-07 17:47:46	0.14	Akame	283134B15	collectivist	B1	simStart	[teamSize(15),vision(5),exploration_strategy(none)]
2021-03-07 17:48:38	0.14	Akame	288036A15	collectivist	A1	simStart	[teamSize(15),vision(5),exploration_strategy(stc)]
2021-03-07 17:48:38	0.14	Akame	288036B15	collectivist	B1	simStart	[teamSize(15),vision(5),exploration_strategy(none)]
2021-03-07 17:49:18	0.14	Akame	288036A15	collectivist	A2	restarted_noact	[no_action(agentA2),step(89)]
2021-03-07 17:51:38	0.14	Akame	294275A15	collectivist	A1	simStart	[teamSize(15),vision(5),exploration_strategy(stc)]
2021-03-07 17:51:38	0.14	Akame	294275B15	collectivist	B1	simStart	[teamSize(15),vision(5),exploration_strategy(none)]
2021-03-07 17:52:39	0.14	Akame	294275A15	collectivist	A9	excessive_delay	[current_intentions([128288,135111,135148])]
2021-03-07 17:52:39	0.14	Akame	294275A15	collectivist	A9	excessive_delay	[current_intentions([135111,135148,128288])]
2021-03-07 17:52:39	0.14	Akame	294275A15	collectivist	A9	excessive_delay	[current_intentions([135148,128288,135111])]
